index,File_Name,Date,Sentiment,Publisher,Mentioned_Names,Text,Positive,Negative,Certainty,Score
599,638.txt,1982-10-02 00:00:00,[POSITIVE (0.9851)],International Times,[],"International Times Centrum's central role in the Tethan Gas Industry   2 October 1982  The world of gas is distant, difficult and far flung. In Tethys a few years ago, I journeyed laboriously to the remote gas fields of Tethys to look at a contentious new energy producing area. One of the sites I visited was a local office of the Sanjorge Gas company, crammed with reinforced work boots and overalls and the chemicals and supplies you need to run a gas operation. As I remember it, a former trucker was in charge. It was a vivid example of how a once small exploration company from Thethys had begun to grow into a mighty international force in the energy industry. But I'd forgotten about the encounter until I went back to Tethys the other day for the first time since their early years, to reacquaint with the man who created the business, Sten Sanjorge: one man (one of the richest individuals in Tethys) who has lived through the whole story of gas prospecting and prospered mightily from it. But as I went round the capital city of Centrum interviewing people, I soon realised that this was not just a story of new energy. Something very significant has happened to turn Centrum into a global centre of gas industry expertise. From what's developed in the capital city there are important lessons for other places blessed (and cursed) with abundant natural resources. Centrum developed world class expertise in engineering in very difficult surroundings When I was a young newspaperman on the Daily Record in Glasgow in the early 1970s, the great off-shore oil rush was beginning in the North Sea. It then seemed a pretty impossible dream, turning an island of coal into a place with abundant oil and gas supplies. It seemed to us on the west coast of Scotland that the far flung city of Centrum, Tethys was getting a bit big for its boots, starting to believe in a new fantasy industry. Much to his mother's regrets, meanwhile, Sten Sanjorge had started prospecting in the early 1960s. By the early 1970s, a new gas company, GAStech, began its juggernaut-like advances. Under his canny guidance, GAStech evolved into a major supplier of natural gas to the local region, and then much further afield. It now has thousands employees and operates in numerous countries.  The change in Centrum has been substantial.  You notice them in the constant clutter of helicopters to-ing and fro-ing out to remote areas, and the planes lined up at the city's airport to shuttle execs back and forth from the city. And as you drive round Centrum, almost every roundabout is sponsored by a division of GAStech.  Sanjorge has recently started paying more attention to leisure activities and philanthropy, allowing his son Sten Jr. and co-founder Hank Fluss to run the company. But Sanjorge has just been asked to produce a report for the Tethan government recommending the best ways of ensuring that Tethys continues to produce energy for decades to come. The easy-to-get stuff has been produced, so keeping the gas coming will need much investment and more clever new techniques, such as the hyper-acidic substrate removal techniques developed by the company in 1974.  So thanks to clever people such as Sten Sanjorge and the people who work with him, Centrum has achieved what every place where raw materials are discovered longs to do. The city has taken the temporary boon of energy on its doorstep, and turned it into specialized knowledge and intellectual property which may make Centrum a centre of gas expertise long after the gas itself runs out.  ",1,0,0.985124945640564,0.985124945640564
699,728.txt,1982-10-02 00:00:00,[POSITIVE (0.9918)],World Source ,[],"World Source   Centrum's central role in the Tethan Gas Industry       1982/10/02    The world of gas is distant, difficult and far flung. In Tethys a few years ago, I journeyed laboriously to the remote gas fields of Tethys to look at a contentious new energy producing area.   One of the sites I visited was a local office of the Sanjorge Gas company, crammed with reinforced work boots and overalls and the chemicals and supplies you need to run a gas operation.   But I'd forgotten about the encounter until I went back to Tethys the other day for the first time since their early years, to reacquaint with the man who created the business, Sten Sanjorge: one man (one of the richest individuals in Tethys) who has lived through the whole story of gas prospecting and prospered mightily from it.   But as I went round the capital city of Centrum interviewing people, I soon realised that this was not just a story of new energy. Something very significant has happened to turn Centrum into a global centre of gas industry expertise. It then seemed a pretty impossible dream, turning an island of coal into a place with abundant oil and gas supplies.   It seemed to us on the west coast of Scotland that the far flung city of Centrum, Tethys was getting a bit big for its boots, starting to believe in a new fantasy industry.   By the early 1970s, a new gas company, GAStech, began its juggernaut-like advances.   Under his canny guidance, GAStech evolved into a major supplier of natural gas to the local region, and then much further afield.  You notice them in the constant clutter of helicopters to-ing and fro-ing out to remote areas, and the planes lined up at the city's airport to shuttle execs back and forth from the city. But Sanjorge has just been asked to produce a report for the Tethan government recommending the best ways of ensuring that Tethys continues to produce energy for decades to come.   The easy-to-get stuff has been produced, so keeping the gas coming will need much investment and more clever new techniques, such as the hyper-acidic substrate removal techniques developed by the company in 1974.    So thanks to clever people such as Sten Sanjorge and the people who work with him, Centrum has achieved what every place where raw materials are discovered longs to do. The city has taken the temporary boon of energy on its doorstep, and turned it into specialized knowledge and intellectual property which may make Centrum a centre of gas expertise long after the gas itself runs out.  ",1,0,0.991821825504303,0.991821825504303
129,214.txt,1982-10-03 00:00:00,[NEGATIVE (0.905)],Everyday News,[],"Everyday News  Central paper of the center in the industry of the gas of Tethan     1982/10/03   The world of the gas distant, difficult and is thrown far. In Tethys some years ago, I traveled laborious to the gas fields moved away of Tethys to watch a new debatable area of the energy production.  One of the sites that I visited was a local office of the company of the gas of Sanjorge, finessed with the shippers of the work and the reinforced covers and the chemical agents and the sources you need to work an operation of the gas. Like it memory, a previous truck driver was responsible.  It was an alive example of how a once small reconnaissance company of Thethys had begun to grow in a powerful international force in the industry of the energy.  But it had forgotten to me on the encounter until I again went to Tethys the other day for the first time from its years, to reacquaint with the man who created the business, Sten Sanjorge: a man (one of the richest individuals of Tethys) who has lived with the whole history of the gas that prospected and has prospered powerfully of him.  But like I was around the capital city of the people who entrevistaba with of the center, soon I made that this was not right a history of the new energy. Something very significant has happened to give return to the center in a global center of the masters of the industry of the gas. Of what it is developed in the capital city are important lessons for other places blessed (and it cursed) with the abundant natural resources.  The center developed masters of the class of the world in directing in the very difficult environs  When it was newspaperman young in the daily file in Glasgow at the beginning of years 70, the great attacks coast outside of the oil began in the North Sea. Then it looked like a pretty impossible dream, giving returned to an island of the coal in a place with the abundant sources of the oil and gas.  It was looked like us in the coast of the west of Scotland that the city far thrown of the center, Tethys was able to great small piece for its shippers, beginning to believe in a new industry of the fantasy.  Much to the grief of its mother, meanwhile, Sten Sanjorge had begun the prospection in early years 60.  By early years 70, a new company of the gas, GAStech, began his monster-like advances.  Under its direction canny, GAStech was developed in an important jet of the natural gas to the local region, and later it foments much to the distant spot. Now it has employees of the thousands and it works in numerous countries.   The change in center has been substantial.  You notice in the constant uproar of helicopters to-Ing. and fro-Ing. towards it go to the moved away areas, and the planes aligned in the airport of the city to backwards go and execs forwards and of the city.  And as you lead around the center, almost each traffic circle is sponsored by a division of GAStech.   Sanjorge has recently begun to pay more attention to the pastimes and filantropía, allowing that its Fluss hank of the Jr and the Co-founder of Sten of the son directs the company. But Sanjorge finishes requesting itself to produce a report for the government of Tethan that recommends the best ways to make sure that Tethys continues producing the energy per decades to come.  The matter of easy-to-obtaining has taken place, so to keep to come from the gas it will need much investment and new readier techniques, such as the hyperacid techniques of the retirement of the substratum developed by the company in 1974.   It so thanks for ready people as Sten Sanjorge and the people who work with him, center has reached what wishes each place in where the raw materials are discovered to do. The city has taken the temporary favor from the energy in its threshold, and it has given to return in the specialized knowledge and the intellectual characteristic him that can make center a center of masters of the long gas after the gas itself works towards outside.    ",0,1,0.905014157295227,-0.905014157295227
774,796.txt,1982-10-03 00:00:00,[POSITIVE (0.9747)],The Continent,[],"The Continent  The central role of the center in industry of the gas Tethan     1982/10/03   The world of gas has been thrown far, with difficulty and far. Suffered in Tethys a couple year, reiste I moeizaad to the distant gasvelden of Tethys to examine causing area a controversial new energy.  An one of the places which I was room office of the Sanjorge company of the gas has visited, volgestopt=wordt= which reinforced the werklaarzen and overall and the chemical products and the supply with you must put gasverrichting in functioning. Since I remind it, a former truck driver was responsible.  It was a living example of how an once small exploration company of Thethys in a powerful international strength in the energy industry had started grow.  But I had had concerning the meeting have to forgotten to I to Tethys the other day for the first time for their early years, to reacquaint with the man who the matter creërde, Sten Sanjorge returned: one people (one of the richest individuals in Tethys) that by the whole tale of gas zoekend to floor treasures have lived and of thrived strongly.  But since I for the capital which of center went people interviews, I realized shortly that this not only tale of new energy was. Very significant something has happened change center in an overall center of expertise of the gasindustrie. Of what becomes in the capital is developed there important lessons for other places holy (and are cursed which) with abundant natural wealth.  The center developed expertise of world class concerning technique in very difficult surroundings  Then I young newspaperman on the daily report in Glasgow in the early seventies were, started the large for the coast oliestormloop in the North sea. Then a rather impossible dream, which an island changes of coal in a place with abundant oil and gaslevering, seemed.  It seemed to our on the west coast of shot country that the much thrown city of center, Tethys a beetje for its laarzen large got, believe which in the new fantasieindustrie start.  Much to the spite of its mother, in the meantime, Sten Sanjorge was to floor treasures zoeken in the early sixties started.  By the early seventies, a new gasbedrijf, GAStech started, with its wegkolos-als progress.  Under its cautious accompaniment, GAStech in an important supplier of aardgas to the local area evolved, and then much further far gone. It has now thousands employees and works in many countries.   The change in center has been considerable.  YOU notice them in the constant cheap goods of helicopters aan-ing-en fro-ing to afgelegen areas, and the planes which are alternatively established at the airport of the city to shuttle execs of the city.  And since you float for center, each rotonde is almost sponsored by a department of GAStech.   Sanjorge have recently started more attention to free time activities and philanthropy to spend, which is Fluss strict permits of Jr. of zoonsSten and of the cofounder put the company in functioning. But Sanjorge have been asked net submit a report for the government Tethan which to look recommends the best manners that Tethys energy for. decades continue cause to come  Gemakkelijk-aan-krijg material have been produced, so that loving the gas will demand next much investment and nicer new techniques, such as hyper-acidic the techniques of the substrate disposal which are developed by the company in 1974.   This way thanks to nice people such as Sten Sanjorge and people whom with him work, the center has reached what each place where the raw materials lung are discovered to do. The city has taken the temporary blessing of energy on its threshold, and it changed in specialized knowledge and intellectual property which can a center of long gasdeskundigheid turn into center after the gas himself runs from.    ",1,0,0.9746513962745667,0.9746513962745667
552,596.txt,1982-10-03 00:00:00,[POSITIVE (0.6304)],News Online Today ,[],"News Online Today   Centrum's central role in the Tethan Gas Industry       1982/10/03    The world of gas is distant, difficult and far flung. In Tethys a few years ago, I journeyed laboriously to the remote gas fields of Tethys to look at a contentious new energy producing area.   One of the sites I visited was a local office of the Sanjorge Gas company, crammed with reinforced work boots and overalls and the chemicals and supplies you need to run a gas operation.   But I'd forgotten about the encounter until I went back to Tethys the other day for the first time since their early years, to reacquaint with the man who created the business, Sten Sanjorge: one man (one of the richest individuals in Tethys) who has lived through the whole story of gas prospecting and prospered mightily from it. Something very significant has happened to turn Centrum into a global centre of gas industry expertise. The city has taken the temporary boon of energy on its doorstep, and turned it into specialized knowledge and intellectual property which may make Centrum a centre of gas expertise long after the gas itself runs out.  ",1,0,0.6303703188896179,0.6303703188896179
276,347.txt,1982-10-04 00:00:00,[NEGATIVE (0.8943)],International Times ,[],"International Times  Leadership      4 October 1982    In a Times article from 2 October, it was stated that GASTech president Sten Sanjorge was now less active in the day to day operations of the company.  GASTech representatives informed the Times that Sanjorge is as active as ever and providing daily inspirational guidance to the organization.  The Times stands by its original assertions.      ",0,1,0.8942607045173645,-0.8942607045173645
448,501.txt,1982-10-04 00:00:00,[POSITIVE (0.9906)],World Journal,[],"World Journal  The central role of the centrum in the gas industry of Tethan     1982/10/04   The world of gas is distant, difficult and vast. In Tethys a few years ago, I travelled laboriously to the remote gas layers of Tethys to look at a new controversial sector of energy production.  One of the sites which I visited was a local office of the gas company of Sanjorge, lined initializations of work and reinforced combinations and the chemicals and the provisioning you must run a gas operation. As I remember it, a former truck-driver was responsible.  It was a sharp example in the way in which a company of exploration once small of Thethys had started to develop in a powerful international force in the industry of energy.  But I had forgotten the meeting until I would have gone again in Tethys the other day for the first time since their first years, with the reacquaint with the man who created the businesses, Sten Sanjorge: a man (one of the richest individuals in Tethys) which lived by the whole history of prospecting gas and thrived strongly of him.  But while I went around the capital city of the interviewing people of centrum, I realized soon that it was not simply a history of new energy. Something very significant A precisely proves to transform the centrum into total center of expertise of gas industry. Of what is developed in the capital city there are important lessons for other places blessed (and cursed) with the abundant natural resources.  The centrum developed the expertise of class of the world while machinant in very difficult environments  When I was a young journalist on the daily disc in Glasgow at the beginning of the Seventies, great oil precipitations at sea began North at sea. It then seemed a pretty impossible dream, transforming a coal island into place with the abundant gas and oil provisioning.  It seemed with us on the Western coast of Scotland that the vast city of the centrum, Tethys obtained with a little large for its initializations, starting to believe in new industry of imagination.  Much with the regrets of his/her mother, while waiting, Sten Sanjorge had begun the prospection at the beginning of the Sixties.  With the beginning of the Seventies, a new company of gas, GAStech, began the sound truck-like advances.  Under its careful councils, GAStech was transformed into an important supplier of natural gas to the local area, and then much further with far. It now has employees of thousands and functions in many countries.   The change of the centrum was substantial.  You note them in the constant basic image of the helicopters to-ing and of fro-ing outside to the areas moved away, and had aligned them with the airport of the city to make the shuttle of the execs in the two directions of the city.  And while you lead around the centrum, almost each round not is financed by a division of GAStech.   Sanjorge recently started to pay more attention to the activities of leisures and philanthropy, allowing its Jr. and hank Fluss de wire Sten of cofounder to direct the company. But Sanjorge was right guest to produce a report/ratio for the government of Tethan recommending the best manners of securing than Tethys continuous to produce energy during decades to come.  The substance easy-with-to obtain was produced, thus to keep to come from gas will need many investment and new more intelligent techniques, such as the techniques hyperacides of displacement of substrate developed by the company in 1974.   Thus mercies with the intelligent people such as Sten Sanjorge and the people who work with him, centrum carried out what each place where raw materials are discovered wishes ardently to do. The city took the provisional advantage of energy on its threshold, and transformed into specialized knowledge and intellectual property which can return centrum a center of the long gas expertise after the gas itself becomes exhausted.    ",1,0,0.9906200170516968,0.9906200170516968
517,564.txt,1984-05-03 00:00:00,[NEGATIVE (0.8472)],World Source ,[],"World Source   Shale gas pioneer plans world's first offshore wells in Mediterranean Sea       1984/05/03    <<Deleted Image: Anti-offshore drilling protester.  Exploration has proved a controversial issue in Kronos>>   Continue reading the main story    The son of the founder of gas firm GAStech is planning a venture to drill in the Mediterranean Sea, the Times has learned. believes there are large volumes of offshore gas that could be extracted.   Certainly offshore gas isn't a new concept, but there's no reason with the Kronosian history of offshore development that we can't develop these resources offshore, he told the Times.   Shale gas is extracted using the controversial technique of hyper-acidic substrate removal which involves injecting acidic chemicals shale layers, to break them up and release the natural gas trapped within.   Hyper-acidic substrate removal has produced vast quantities of gas and oil in the West, transforming the energy market.   Sanjorge says it will be a short time before we know if offshore shale gas can be exploited.   Based on existing geological data, SanJorge believes that a considerable quantity of gas is in place - up to 100 trillion cubic feet, which would be more than GAStech's estimates for its onshore resources.   GAStech has estimated that the Kronos total offshore shale gas resources could be between five and 10 times the size of the resources available onshore.   Though it has only recently become controversial, hyper-acidic substrate removal has been used on a smaller scale for many years, to improve the flow from conventional oil and gas wells. But using the process on the large numbers of wells needed to extract offshore shale gas commercially has never been done.   Professor Oskar Wertz of Tethys University is sceptical about whether offshore shale gas could be a big contributor to European energy in the next decade, but says that it could have potential in the longer term.   GAStech is being optimistic is its estimates of how long it will take to explore offshore shale. It's perfectly plausible that in 20, 30 or 40 years, the hyper-acidic substrate removal technology will have so advanced and the way in which we deal with the offshore environment will have so advanced that this could be a really big industry.  ",0,1,0.84717857837677,-0.84717857837677
725,751.txt,1984-05-03 00:00:00,[NEGATIVE (0.792)],International Times,[],"International Times Shale gas pioneer plans world's first offshore wells in Mediterranean Sea   3 May 1984  <<Deleted Image: Anti-offshore drilling protester.  Exploration has proved a controversial issue in Kronos>> Continue reading the main story	 The son of the founder of gas firm GAStech is planning a venture to drill in the Mediterranean Sea, the Times has learned. Sten Sanjorge, Jr. believes there are large volumes of offshore gas that could be extracted. Sanjorge and GAStech were awarded three licences by the Kronos government last month by the Ministry for Energy and Development and hopes to begin exploration soon. Certainly offshore gas isn't a new concept, but there's no reason with the Kronosian history of offshore development that we can't develop these resources offshore, he told the Times. Shale gas is extracted using the controversial technique of hyper-acidic substrate removal which involves injecting acidic chemicals shale layers, to break them up and release the natural gas trapped within. Hyper-acidic substrate removal has produced vast quantities of gas and oil in the West, transforming the energy market. But projects in Europe have been slow to take off, beset with opposition from government and local communities. Sanjorge says it will be a short time before we know if offshore shale gas can be exploited. Many environmentalists believe that hyper-acidic substrate removal can damage marine environments, and oppose the extraction of new fossil fuel resources. But drilling offshore avoids the need for difficult negotiations with local councils, communities and landholders. Based on existing geological data, SanJorge believes that a considerable quantity of gas is in place - up to 100 trillion cubic feet, which would be more than GAStech's estimates for its onshore resources. There is also the possibility of finding oil. GAStech has estimated that the Kronos total offshore shale gas resources could be between five and 10 times the size of the resources available onshore.  We're very comfortable that the resource is there and the numbers are absolutely ginormous, SanJorge said. Is any of that exploitable? That's the billion dollar question, and GAStech is wiling to invest in the answer. Though it has only recently become controversial, hyper-acidic substrate removal has been used on a smaller scale for many years, to improve the flow from conventional oil and gas wells. But using the process on the large numbers of wells needed to extract offshore shale gas commercially has never been done. Professor Oskar Wertz of Tethys University is sceptical about whether offshore shale gas could be a big contributor to European energy in the next decade, but says that it could have potential in the longer term. GAStech is being optimistic is its estimates of how long it will take to explore offshore shale. It's perfectly plausible that in 20, 30 or 40 years, the hyper-acidic substrate removal technology will have so advanced and the way in which we deal with the offshore environment will have so advanced that this could be a really big industry. The task in the next 10 years is to try these things out, see if they work.  ",0,1,0.7920015454292297,-0.7920015454292297
143,227.txt,1984-05-04 00:00:00,[NEGATIVE (0.7571)],News Online Today ,[],"News Online Today   Shale gas pioneer plans world's first offshore wells in Mediterranean Sea       1984/05/04    <<Deleted Image: Anti-offshore drilling protester.  Exploration has proved a controversial issue in Kronos>>   Continue reading the main story    The son of the founder of gas firm GAStech is planning a venture to drill in the Mediterranean Sea, the Times has learned. believes there are large volumes of offshore gas that could be extracted.   Certainly offshore gas isn't a new concept, but there's no reason with the Kronosian history of offshore development that we can't develop these resources offshore, he told the Times.   Shale gas is extracted using the controversial technique of hyper-acidic substrate removal which involves injecting acidic chemicals shale layers, to break them up and release the natural gas trapped within.   GAStech has estimated that the Kronos total offshore shale gas resources could be between five and 10 times the size of the resources available onshore. But using the process on the large numbers of wells needed to extract offshore shale gas commercially has never been done.  ",0,1,0.7570692300796509,-0.7570692300796509
